"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor"
"Terminal Widget","Terminal view insert","Alt+F","Terminal Widget"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Views","Show View (Problems)","Alt+X","In Windows"
"Edit","Find Next","Ctrl+K","Embedded Xtext Editor context"
"Window","Open Model Element","Shift+Ctrl+F3","In Windows"
"Edit","Select Next C/C++ Element","Shift+Alt+Right","C/C++ Editor"
"Terminal Widget","Terminal view insert","Alt+A","Terminal Widget"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"File","New menu","Shift+Alt+N","In Windows"
"Edit","Word Completion","Alt+/","Embedded Xtext Editor context"
"Window","Next Editor","Ctrl+F6","In Windows"
"Navigate","Go to Line","Ctrl+L","Embedded Xtext Editor context"
"C/C++ Source","Format","Shift+Ctrl+F","C/C++ Editor"
"Edit","Quick Fix","Alt+Enter","Editing Java Source"
"C/C++ Source","References","Shift+Ctrl+G","C/C++ Editor"
"Run/Debug","Run","Ctrl+F10","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Run/Debug","Step Into","F5","Debugging"
"Uncategorized","Fonts Increase","Ctrl+=","Editing Text"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"C/C++ Source","Sort Lines","Ctrl+Alt+S","C/C++ Editor"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Views","Show View (InstaSearch)","Alt+S","In Windows"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","In C/C++ Views"
"File","New","Ctrl+N","In Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Text Editing","Scroll Line Up","Ctrl+Up","Embedded Xtext Editor context"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging C/C++"
"Views","Show View (Package Explorer)","Alt+P","In Windows"
"C/C++ Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++"
"Reverse Debugging Commands","Reverse Step Into","Shift+F5","Debugging C/C++"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"C/C++ Source","References","Shift+Ctrl+G","In C/C++ Views"
"Run/Debug","Step Over","F6","Debugging"
"Run/Debug","Step Return","F7","Debugging"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Focused UI","Make Less Interesting","Shift+Ctrl+Alt+Down","In Windows"
"Text Editing","Move Lines Up","Alt+Up","Embedded Xtext Editor context"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Navigate","Deactivate Task","Shift+Ctrl+F9","In Windows"
"File","Rename","F2","In Windows"
"Uncategorized","Quick Outline","Ctrl+O","Editing Xtext Source"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"C/C++ Source","Open Declaration","F3","In Macro Expansion Hover"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks View"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"C/C++ Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor"
"Uncategorized","Toggle Coverage Report","Ctrl+Alt+V","In Windows"
"Editing","Select Previous Element","Shift+Alt+Left","Editing Xtext Source"
"Text Editing","Delete Next Word","Ctrl+Delete","Embedded Xtext Editor context"
"Text Editing","Previous Word","Ctrl+Left","Embedded Xtext Editor context"
"Text Editing","Select Line Start","Shift+Home","Embedded Xtext Editor context"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Text Editing","Text End","Ctrl+End","Embedded Xtext Editor context"
"Navigate","Open Test/Implementation","Ctrl+6","Editing Java Source"
"File","Close All","Shift+Ctrl+W","In Windows"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Editing","Restore Last Selection","Shift+Alt+Down","Editing Xtext Source"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Embedded Xtext Editor context"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"C/C++ Source","Show outline","Ctrl+O","C/C++ Editor"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Reverse Debugging Commands","Reverse Step Over","Shift+F6","Debugging C/C++"
